raceId,year,round,driverId,constructorId,grid,positionOrder,points,status,is_winner,EventName,Location,Abbreviation,driver_wins_cum,driver_races_cum,driver_win_rate,position_numeric,driver_recent_form,constructor_wins_cum,constructor_races_cum,constructor_win_rate,constructor_recent_points,location_id,constructor_id_enc,driver_id_enc,regulation_change
2023_1,2023,1,max_verstappen,Red Bull Racing,1.0,1.0,25.0,Finished,1,Bahrain Grand Prix,Sakhir,VER,0,0,0.0,1.0,0.0,0,0,0.0,0.0,13,10,13,0
2023_1,2023,1,perez,Red Bull Racing,2.0,2.0,18.0,Finished,0,Bahrain Grand Prix,Sakhir,PER,0,0,0.0,2.0,0.0,1,1,1.0,25.0,13,10,16,0
2023_1,2023,1,alonso,Aston Martin,5.0,3.0,15.0,Finished,0,Bahrain Grand Prix,Sakhir,ALO,0,0,0.0,3.0,0.0,0,0,0.0,0.0,13,3,1,0
2023_1,2023,1,sainz,Ferrari,4.0,4.0,12.0,Finished,0,Bahrain Grand Prix,Sakhir,SAI,0,0,0.0,4.0,0.0,0,0,0.0,0.0,13,4,20,0
2023_1,2023,1,hamilton,Mercedes,7.0,5.0,10.0,Finished,0,Bahrain Grand Prix,Sakhir,HAM,0,0,0.0,5.0,0.0,0,0,0.0,0.0,13,8,8,0
2023_1,2023,1,stroll,Aston Martin,8.0,6.0,8.0,Finished,0,Bahrain Grand Prix,Sakhir,STR,0,0,0.0,6.0,0.0,0,1,0.0,15.0,13,3,22,0
2023_1,2023,1,russell,Mercedes,6.0,7.0,6.0,Finished,0,Bahrain Grand Prix,Sakhir,RUS,0,0,0.0,7.0,0.0,0,1,0.0,10.0,13,8,19,0
2023_1,2023,1,bottas,Alfa Romeo,12.0,8.0,4.0,Finished,0,Bahrain Grand Prix,Sakhir,BOT,0,0,0.0,8.0,0.0,0,0,0.0,0.0,13,0,3,0
2023_1,2023,1,gasly,Alpine,20.0,9.0,2.0,Finished,0,Bahrain Grand Prix,Sakhir,GAS,0,0,0.0,9.0,0.0,0,0,0.0,0.0,13,2,7,0
2023_1,2023,1,albon,Williams,15.0,10.0,1.0,Finished,0,Bahrain Grand Prix,Sakhir,ALB,0,0,0.0,10.0,0.0,0,0,0.0,0.0,13,11,0,0
2023_1,2023,1,tsunoda,AlphaTauri,14.0,11.0,0.0,Finished,0,Bahrain Grand Prix,Sakhir,TSU,0,0,0.0,11.0,0.0,0,0,0.0,0.0,13,1,23,0
2023_1,2023,1,sargeant,Williams,16.0,12.0,0.0,Lapped,0,Bahrain Grand Prix,Sakhir,SAR,0,0,0.0,12.0,0.0,0,1,0.0,1.0,13,11,21,0
2023_1,2023,1,kevin_magnussen,Haas F1 Team,17.0,13.0,0.0,Lapped,0,Bahrain Grand Prix,Sakhir,MAG,0,0,0.0,13.0,0.0,0,0,0.0,0.0,13,5,10,0
2023_1,2023,1,de_vries,AlphaTauri,19.0,14.0,0.0,Lapped,0,Bahrain Grand Prix,Sakhir,DEV,0,0,0.0,14.0,0.0,0,1,0.0,0.0,13,1,5,0
2023_1,2023,1,hulkenberg,Haas F1 Team,10.0,15.0,0.0,Lapped,0,Bahrain Grand Prix,Sakhir,HUL,0,0,0.0,15.0,0.0,0,1,0.0,0.0,13,5,9,0
2023_1,2023,1,zhou,Alfa Romeo,13.0,16.0,0.0,Lapped,0,Bahrain Grand Prix,Sakhir,ZHO,0,0,0.0,16.0,0.0,0,1,0.0,4.0,13,0,24,0
2023_1,2023,1,norris,McLaren,11.0,17.0,0.0,Lapped,0,Bahrain Grand Prix,Sakhir,NOR,0,0,0.0,17.0,0.0,0,0,0.0,0.0,13,7,14,0
2023_1,2023,1,ocon,Alpine,9.0,18.0,0.0,Retired,0,Bahrain Grand Prix,Sakhir,OCO,0,0,0.0,18.0,0.0,0,1,0.0,2.0,13,2,15,0
2023_1,2023,1,leclerc,Ferrari,3.0,19.0,0.0,Retired,0,Bahrain Grand Prix,Sakhir,LEC,0,0,0.0,19.0,0.0,0,1,0.0,12.0,13,4,12,0
2023_1,2023,1,piastri,McLaren,18.0,20.0,0.0,Retired,0,Bahrain Grand Prix,Sakhir,PIA,0,0,0.0,20.0,0.0,0,1,0.0,0.0,13,7,17,0
2023_2,2023,2,perez,Red Bull Racing,1.0,1.0,25.0,Finished,1,Saudi Arabian Grand Prix,Jeddah,PER,0,1,0.0,1.0,2.0,1,2,0.5,21.5,4,10,16,0
2023_2,2023,2,max_verstappen,Red Bull Racing,15.0,2.0,19.0,Finished,0,Saudi Arabian Grand Prix,Jeddah,VER,1,1,1.0,2.0,1.0,2,3,0.6666666666666666,22.666666666666668,4,10,13,0
